OBJECTID,Park_Name,GlobalID
356,New Town Oval,94c27555-2ac4-4ca6-9b85-639a0b057109
357,Clare St Oval,9a520015-df27-4b98-89ff-f2d89eabddaa
358,Parliament Street Oval,ba57a2f9-7208-4164-bf8a-18e35585b171
359,North Hobart Oval,f11c0cb8-c7f6-4834-a35c-96c5f045bc2f
360,South Hobart Soccer Ground,af43a023-0d5c-45d3-bf2a-8c70eedcab52
361,Sandown Park,95db84e3-5d8f-4af1-9067-66afdc5cec61
362,Mt Nelson Oval And Reserve,886b5f08-4765-4936-b063-018a92eeafd6
363,Queenborough Oval,99611d5c-a6e1-47f5-8b1d-4f4c9567c762
364,Wellesley Park Oval ,da5a45d1-2877-429c-9495-2af13e940f8b
365,West Hobart Oval,c5381d30-6d0b-4c20-89a2-a9eec0abd91b
366,Domain Athletics Centre,f37de571-d1be-4d11-9646-33a2c1d5dab7
367,Lower Queenborough Oval,eb06caf8-03a4-4283-8930-504652b90a53
368,Selfs Point Rugby Park,84724eac-c80d-4469-a691-3e2a2b63622f
369,Sandy Bay Senior Citizens Club,6dbc7773-637c-4173-aaa5-a1dc870b0add
376,Wapping Art Wall ,febe1e45-99bb-4efe-aa52-8aa01fdcbe5c
1195,Fairfield Play Area,d7cc1077-5ddc-43e7-ac2c-3a57e60c59aa
1200,Parliament Street Playground,382321c3-d6ca-441f-bbf5-853a63796143
1202,Mountain Park,b48f27a5-85f4-4364-8b99-266d50abb952
1204,Queens Domain,29ef0900-b6f4-4d54-864c-b004e697b916
1205,Queens Domain,a8101028-70ba-4d6f-b6b4-3576c14c59bd
1206,Queens Domain,e68cfe55-47bf-4d9f-9617-ddc2801dc272
1207,Cornelian Bay ,f3346320-e83e-40dd-813e-77b3d40c66fd
1221,Hobart Rivulet Park Linear,10b3f85a-50d4-44c8-9b02-ed6c2df8c66d
1222,New Town Rivulet Linear Park Linear,a5af1fec-3b40-48d0-a861-7b644bd45633
1223,New Town Rivulet Linear Park Linear,6f4413a6-68ad-4d56-8418-7299075aade4
1224,Intercity Cycleway Linear,35234525-d48d-4794-a340-f395475cf3fe
1229,Boer War Memorial Area,fcc8ef15-a8e8-4918-a729-9c6ff8c9a4e7
1231,Caldew Park,c551831e-4610-44b3-a989-53f8cc75d1ed
1235,Cascade Track Linear,bbfb2bcc-67d6-4c0b-b957-22c5a12bbb05
1237,Cenotaph/Regatta Grounds,50db9603-e735-4c35-a26d-7cb8fd34f275
1241,Knocklofty Reserve,3d934d32-ad6c-4c71-8d71-d86da982121b
1242,Long Beach Reserve,fd1ba8d4-cd3b-48bd-abd5-77af10fb5f1c
1244,Pipeline Track Linear,0c7af759-939b-4a12-a73b-3221708125e2
1246,Ridgeway Park,a292544a-04f4-4802-8644-4455fadfbd4b
1248,Waterworks Reserve,081def26-577e-4031-b892-666b5654385a
1262,Cornelian Bay ,241c8c3d-816d-4941-a689-bb11c338dbf9
1264,,4c8f6093-600f-4219-b908-e27b80341b88
1266,Kalang Avenue Reserve,6337830d-e58b-4bef-9d04-a8b89bd3f5ac
1267,Lambert Park,69769dc6-2316-42c4-804a-97287724facf
